,epoch,loss,accuracy,val_loss,val_accuracy
0,1,1.2442731857299805,0.41956523060798645,1.0319169759750366,0.5299999713897705
1,2,0.8201825618743896,0.6816533803939819,0.6699088215827942,0.7666666507720947
2,3,0.5479930639266968,0.812907874584198,0.4918239712715149,0.8299999833106995
3,4,0.3961770236492157,0.893401026725769,0.3784666061401367,0.8966666460037231
4,5,0.2999745011329651,0.9216823577880859,0.3105161190032959,0.9133333563804626
5,6,0.23311565816402435,0.942712128162384,0.2595352828502655,0.903333306312561
6,7,0.1864796131849289,0.9543147087097168,0.2327856421470642,0.9100000262260437
7,8,0.1542104184627533,0.9637418389320374,0.2115652859210968,0.9166666865348816
8,9,0.131265327334404,0.9724438190460205,0.21325677633285522,0.9133333563804626
9,10,0.11221015453338623,0.9804205894470215,0.1969938427209854,0.9233333468437195
10,11,0.08977926522493362,0.9876722097396851,0.17940083146095276,0.9200000166893005
11,12,0.0823146179318428,0.9876722097396851,0.1859886348247528,0.9300000071525574
12,13,0.07250003516674042,0.989847719669342,0.18313202261924744,0.9233333468437195
13,14,0.0592275932431221,0.9956490397453308,0.19321388006210327,0.9266666769981384
14,15,0.052414145320653915,0.9956490397453308,0.1789686381816864,0.9166666865348816
15,16,0.04772583395242691,0.997824490070343,0.20777297019958496,0.9166666865348816
16,17,0.04317913204431534,0.9970993399620056,0.18621553480625153,0.9166666865348816
17,18,0.037721097469329834,0.997824490070343,0.1916203498840332,0.9300000071525574
18,19,0.03064918704330921,1.0,0.1870344877243042,0.9300000071525574
19,20,0.02847937121987343,1.0,0.19384650886058807,0.9266666769981384
20,21,0.023860622197389603,1.0,0.1866624653339386,0.9333333373069763
21,22,0.021783923730254173,0.9992748498916626,0.19815801084041595,0.9233333468437195
22,23,0.02012060210108757,1.0,0.19448910653591156,0.9300000071525574
23,24,0.01807958446443081,1.0,0.1982523798942566,0.9200000166893005
24,25,0.015060881152749062,1.0,0.20338906347751617,0.9266666769981384
